,Unnamed: 0,subj_id,condition,shape,color,frame_1_duration_ms,frame_2_duration_ms,frame_3_duration_ms,frame_4_duration_ms,verbal_report,shape_number,comments,debrief_question,matched_stimuli,movement,colour_change,change_type,valid,one_shape,4_frames,discrete_report,discrete_match
0,0,55ac3198fdf99b6de3b68b23,illusion_2frames,triangle,green_yellow,133.44000000000233,33.33999999999651,33.320000000006985,149.9200000000128,I first saw a yellow triangle appear on the left side of the video screen. This triangle disappeared and at the same time a green triangle appeared on the right of the screen.,2,no,how an abstract video is described by the viewer,2frames,False,False,,True,False,False,False,False
1,1,5d68c8aa40524c00189e8ac2,illusion_2frames,square,red_blue,149.80000000001746,33.39999999999418,33.29999999998836,133.30000000001746,"There was a red square on the left flashed up quickly, followed by a green square on the right, which also flashed up quickly.",2,No,Peoples' ability to process shapes in a short amount of time,2frames,False,False,,True,False,False,False,False
2,2,5efb49177e130c0785b93842,baseline_2frames,square,red_blue,133.3000000000029,250.5,266.0,134.1999999999971,"One small red square to the left, then very shortly after, one blue to the right, slightly lower and of the exact same size",2,no,not sure,2frames,False,False,,True,False,False,False,False
3,3,609a83645a6b336762951202,baseline_2frames,square,green_yellow,149.7719999999972,250.09999999997672,249.90000000002328,150.0,"I saw a lime green square pop up and disappear, and I saw a yellow square pop up and disappear in 1sec.",1,"No, everything was okay",To measure how people think or how they can remember what they saw in the video.,2frames,False,False,,True,True,False,False,False
4,4,60cf411960ebf009b1e9a598,baseline_2frames,square,green_yellow,133.39999999999418,250.0,250.0,150.0,ornage box on left appears and then disappears then green box on right appears and disappears with a space between them,2,not sure,if frames can be seen at a certain speed or frequency to a normal human eye depending on if they are close or far from the screen,2frames,False,False,,True,False,False,False,False
5,5,6234e1b277e7fe207a9ad500,illusion_2frames,square,red_blue,133.4659999999858,33.30000000001746,33.39999999999418,150.0,A red square and a blue square. I think they were both moving to left left. Or maybe it was just the red square moving left.,2,no,Vision test.,2frames,True,False,,True,False,False,False,False
6,6,63d6873b65a6170d64a652f6,baseline_2frames,square,red_blue,133.0,250.30000000001743,266.69999999998254,150.10000000000582,a red square followed by a blue square. Each square appeared on the screen for a split second before quickly disappearing. ,2,none.,i have no idea,2frames,False,False,,True,False,False,False,False
7,7,667ee9872c3aa11f8d15f318,baseline_2frames,square,green_yellow,141.89999999999418,258.1000000000058,258.1999999999971,149.90000000000873,"I saw an orange and green box flash briefly, the orange on the left side, and the green on the right side.",2,,Maybe its about our perception to quick things,2frames,False,False,,True,False,False,False,False
8,8,66b61acfc1dbddd8d87c1ee4,baseline_2frames,triangle,red_blue,149.73399999999674,250.40000000000873,249.6999999999971,150.0,"There was a red triangle to the left. After that had disappeared a blue triangle appeared on the right, then it disappeared too",2,Everything was very clear and easy to understand,"Not sure, maybe testing memory about colours!?!?",2frames,False,False,,True,False,False,False,False
9,9,66c8a81f25959e5f183e2bb3,illusion_2frames,triangle,green_yellow,133.39999999999418,33.30000000001746,33.39999999999418,149.79999999998836,I saw two triangles. One was yellow and one was green. They moved before they disappeared. I think they moved in opposite directions ,2,No,No idea,2frames,True,False,,True,False,False,False,False
10,10,67e80b7b69a2afc3b988096b,baseline_2frames,square,green_yellow,147.6180000000022,266.5,266.3999999999942,133.1999999999971,"Yellow and green flashes appeared on the screen simultaneously, in a square shape. At the middle of the screen and the bottom right ",2,,Cognitive ability,2frames,False,False,,True,False,False,False,False
